,date,symbol,price,volume_24h,open_created_at,close_created_at
0,2023-03-03,BTC,22413.37,,2023-03-03 09:38:01.480272,
0,2023-03-03,BTC,22415.18,5.8496895246e+17,,2023-03-03 09:48:11.319390
