,date,symbol,open_price,close_price,volume_24h,open_created_at,close_created_at
0,2023-03-06,BTC,22444.48,,,2023-03-06 23:10:19.866473,
0,2023-03-06,BTC,,22452.62,3.89552957e+16,,2023-03-06 23:30:25.350681
0,2023-03-06,BTC,,22445.37,3.8929249728e+17,,2023-03-06 23:30:44.108931
