date,symbol,open,close,volume
2014-09-17,BTC,465.86,457.33,21056800.0
2014-09-18,BTC,456.86,424.44,34483200.0
2014-09-19,BTC,424.1,394.8,37919700.0
2014-09-20,BTC,394.67,408.9,36863600.0
2014-09-21,BTC,408.08,398.82,26580100.0
2014-09-22,BTC,399.1,402.15,24127600.0
2014-09-23,BTC,402.09,435.79,45099500.0
2014-09-24,BTC,435.75,423.2,30627700.0
2014-09-25,BTC,423.16,411.57,26814400.0
2014-09-26,BTC,411.43,404.42,21460800.0
2014-09-27,BTC,403.56,399.52,15029300.0
2014-09-28,BTC,399.47,377.18,23613300.0
2014-09-29,BTC,376.93,375.47,32497700.0
2014-09-30,BTC,376.09,386.94,34707300.0
2014-10-01,BTC,387.43,383.61,26229400.0
2014-10-02,BTC,383.99,375.07,21777700.0
2014-10-03,BTC,375.18,359.51,30901200.0
2014-10-04,BTC,359.89,328.87,47236500.0
2014-10-05,BTC,328.92,320.51,83308096.0
2014-10-06,BTC,320.39,330.08,79011800.0
2014-10-07,BTC,330.58,336.19,49199900.0
2014-10-08,BTC,336.12,352.94,54736300.0
2014-10-09,BTC,352.75,365.03,83641104.0
2014-10-10,BTC,364.69,361.56,43665700.0
2014-10-11,BTC,361.36,362.3,13345200.0
2014-10-12,BTC,362.61,378.55,17552800.0
2014-10-13,BTC,377.92,390.41,35221400.0
2014-10-14,BTC,391.69,400.87,38491500.0
2014-10-15,BTC,400.95,394.77,25267100.0
2014-10-16,BTC,394.52,382.56,26990000.0
2014-10-17,BTC,382.76,383.76,13600700.0
2014-10-18,BTC,383.98,391.44,11416800.0
2014-10-19,BTC,391.25,389.55,5914570.0
2014-10-20,BTC,389.23,382.85,16419000.0
2014-10-21,BTC,382.42,386.48,14188900.0
2014-10-22,BTC,386.12,383.16,11641300.0
2014-10-23,BTC,382.96,358.42,26456900.0
2014-10-24,BTC,358.59,358.35,15585700.0
2014-10-25,BTC,358.61,347.27,18127500.0
2014-10-26,BTC,347.49,354.7,11272500.0
2014-10-27,BTC,354.78,352.99,13033000.0
2014-10-28,BTC,353.21,357.62,7845880.0
2014-10-29,BTC,357.09,335.59,18192700.0
2014-10-30,BTC,335.71,345.3,30177900.0
2014-10-31,BTC,345.01,338.32,12545400.0
2014-11-01,BTC,338.65,325.75,16677200.0
2014-11-02,BTC,326.08,325.89,8603620.0
2014-11-03,BTC,325.57,327.55,12948500.0
2014-11-04,BTC,327.16,330.49,15655500.0
2014-11-05,BTC,330.68,339.49,19817200.0
2014-11-06,BTC,339.46,349.29,18797000.0
2014-11-07,BTC,349.82,342.42,16834200.0
2014-11-08,BTC,342.15,345.49,8535470.0
2014-11-09,BTC,345.38,363.26,24205600.0
2014-11-10,BTC,362.27,366.92,30450100.0
2014-11-11,BTC,365.86,367.7,15838900.0
2014-11-12,BTC,367.98,423.56,45783200.0
2014-11-13,BTC,427.27,420.73,58945000.0
2014-11-14,BTC,418.42,397.82,29589200.0
2014-11-15,BTC,399.65,376.13,15727500.0
2014-11-16,BTC,374.73,387.88,11905600.0
2014-11-17,BTC,388.35,387.41,41518800.0
2014-11-18,BTC,387.79,375.2,32222500.0
2014-11-19,BTC,373.9,380.55,18931800.0
2014-11-20,BTC,380.31,357.84,25233200.0
2014-11-21,BTC,357.88,350.85,29850100.0
2014-11-22,BTC,351.6,352.92,15273000.0
2014-11-23,BTC,353.17,367.57,15151600.0
2014-11-24,BTC,366.95,376.9,30930100.0
2014-11-25,BTC,376.89,375.35,25442200.0
2014-11-26,BTC,376.02,368.37,18601700.0
2014-11-27,BTC,370.5,369.67,8748030.0
2014-11-28,BTC,369.37,376.45,22946500.0
2014-11-29,BTC,376.15,375.49,15375600.0
2014-11-30,BTC,375.51,378.05,9194440.0
2014-12-01,BTC,378.25,379.24,11763000.0
2014-12-02,BTC,379.25,381.32,12364100.0
2014-12-03,BTC,381.72,375.01,13340100.0
2014-12-04,BTC,375.72,369.6,14529600.0
2014-12-05,BTC,369.44,376.85,15181800.0
2014-12-06,BTC,376.76,374.79,7009320.0
2014-12-07,BTC,374.84,375.1,6491650.0
2014-12-08,BTC,374.96,361.91,18898700.0
2014-12-09,BTC,361.89,352.22,32915500.0
2014-12-10,BTC,352.2,346.36,16427700.0
2014-12-11,BTC,344.34,350.51,32431300.0
2014-12-12,BTC,350.83,352.54,16989800.0
2014-12-13,BTC,352.38,347.38,11675900.0
2014-12-14,BTC,346.73,351.63,12415200.0
2014-12-15,BTC,351.36,345.35,17264200.0
2014-12-16,BTC,345.67,327.06,30864900.0
2014-12-17,BTC,326.86,319.78,37567900.0
2014-12-18,BTC,319.79,311.4,39173000.0
2014-12-19,BTC,311.18,317.84,23823100.0
2014-12-20,BTC,317.62,329.96,20856700.0
2014-12-21,BTC,329.54,320.84,15207600.0
2014-12-22,BTC,321.07,331.89,22315100.0
2014-12-23,BTC,332.02,334.57,16574200.0
2014-12-24,BTC,334.39,322.53,15092300.0
2014-12-25,BTC,322.29,319.01,9883640.0
2014-12-26,BTC,319.15,327.92,16410500.0
2014-12-27,BTC,327.58,315.86,15185200.0
2014-12-28,BTC,316.16,317.24,11676600.0
2014-12-29,BTC,317.7,312.67,12302500.0
2014-12-30,BTC,312.72,310.74,12528300.0
2014-12-31,BTC,310.91,320.19,13942900.0
2015-01-01,BTC,320.43,314.25,8036550.0
2015-01-02,BTC,314.08,315.03,7860650.0
2015-01-03,BTC,314.85,281.08,33054400.0
2015-01-04,BTC,281.15,264.2,55629100.0
2015-01-05,BTC,265.08,274.47,43962800.0
2015-01-06,BTC,274.61,286.19,23245700.0
2015-01-07,BTC,286.08,294.34,24866800.0
2015-01-08,BTC,294.14,283.35,19982500.0
2015-01-09,BTC,282.38,290.41,18718600.0
2015-01-10,BTC,287.3,274.8,15264300.0
2015-01-11,BTC,274.61,265.66,18200800.0
2015-01-12,BTC,266.15,267.8,18880300.0
